analysis_scope,condition_id,condition_label,cutoff_k,question_count,mean_retrieved_count,mean_hit_chunk_count,chunk_precision,chunk_success,gold_block_recall,chunk_ndcg,empty_rate,median_latency_ms
family:features_security_maintenance_limitations,chunker-generic-recursive,Recursive chunker,10,50,28.7,0.76,0.07600000000000001,0.52,0.52,0.24549683125886115,0.0,5733.985500000001
family:features_security_maintenance_limitations,chunker-generic-recursive,Recursive chunker,15,50,28.7,0.96,0.064,0.6,0.6,0.27959314170607696,0.0,5733.985500000001
family:features_security_maintenance_limitations,chunker-generic-recursive,Recursive chunker,20,50,28.7,1.02,0.051000000000000004,0.62,0.62,0.289080105654111,0.0,5733.985500000001
family:features_security_maintenance_limitations,chunker-generic-recursive,Recursive chunker,25,50,28.7,1.12,0.044800000000000006,0.62,0.62,0.3007876396023773,0.0,5733.985500000001
family:features_security_maintenance_limitations,chunker-generic-recursive,Recursive chunker,30,50,28.7,1.24,0.04133333333333334,0.64,0.64,0.3135970386526592,0.0,5733.985500000001
family:features_security_maintenance_limitations,chunker-generic-recursive,Recursive chunker,35,50,28.7,1.24,0.03542857142857143,0.64,0.64,0.3135970386526592,0.0,5733.985500000001
family:features_security_maintenance_limitations,chunker-generic-recursive,Recursive chunker,40,50,28.7,1.28,0.032,0.64,0.64,0.3176897026606866,0.0,5733.985500000001
family:features_security_maintenance_limitations,chunker-generic-recursive,Recursive chunker,45,50,28.7,1.28,0.028444444444444446,0.64,0.64,0.3176897026606866,0.0,5733.985500000001
family:features_security_maintenance_limitations,chunker-generic-recursive,Recursive chunker,50,50,28.7,1.28,0.0256,0.64,0.64,0.3176897026606866,0.0,5733.985500000001
family:features_security_maintenance_limitations,chunker-generic-recursive,Recursive chunker,55,50,28.7,1.28,0.02327272727272727,0.64,0.64,0.3176897026606866,0.0,5733.985500000001
family:features_security_maintenance_limitations,chunker-generic-recursive,Recursive chunker,60,50,28.7,1.28,0.021333333333333333,0.64,0.64,0.3176897026606866,0.0,5733.985500000001
family:facts_specifications,chunker-generic-sliding-window,Sliding-window chunker,5,50,24.78,0.38,0.07600000000000001,0.24,0.24,0.13021111474690775,0.0,5802.5064999999995
family:facts_specifications,chunker-generic-sliding-window,Sliding-window chunker,10,50,24.78,0.8,0.08,0.54,0.54,0.21664517435149122,0.0,5802.5064999999995
family:facts_specifications,chunker-generic-sliding-window,Sliding-window chunker,15,50,24.78,0.9,0.06,0.56,0.56,0.22932018882662272,0.0,5802.5064999999995
family:facts_specifications,chunker-generic-sliding-window,Sliding-window chunker,20,50,24.78,1.14,0.057,0.64,0.64,0.2687184166000227,0.0,5802.5064999999995
family:facts_specifications,chunker-generic-sliding-window,Sliding-window chunker,25,50,24.78,1.26,0.0504,0.68,0.68,0.28486739327194915,0.0,5802.5064999999995
family:facts_specifications,chunker-generic-sliding-window,Sliding-window chunker,30,50,24.78,1.32,0.044000000000000004,0.7,0.7,0.29194582644220507,0.0,5802.5064999999995
family:facts_specifications,chunker-generic-sliding-window,Sliding-window chunker,35,50,24.78,1.34,0.038285714285714284,0.7,0.7,0.29330246726329956,0.0,5802.5064999999995
