condition_id,condition_label,scope,from_k,to_k,question_count,delta_recall,recall_ci95_low,recall_ci95_high,recall_significant,delta_precision,precision_ci95_low,precision_ci95_high,precision_significant,delta_ndcg,ndcg_ci95_low,ndcg_ci95_high,ndcg_significant,recall_practical_small,recall_local_plateau,ndcg_practical_small
chunker-generic-recursive,Recursive chunker,id,15,20,100,0.03,0.0,0.07,0,-0.008166666666666666,-0.011499999999999996,-0.0046666666666666645,1,0.010451645403842665,0.002791907477295009,0.01998326574411142,1,0,0,0
chunker-generic-recursive,Recursive chunker,id,20,25,100,0.0,0.0,0.0,0,-0.005300000000000002,-0.007400000000000001,-0.003200000000000002,1,0.0052708704709945285,0.001023517042830655,0.010384309315660308,1,1,1,1
chunker-generic-recursive,Recursive chunker,id,25,30,100,0.02,0.0,0.05,0,-0.002533333333333334,-0.0044666666666666665,-0.00033333333333333376,1,0.008598989420458326,0.002883730944231297,0.01562863209821173,1,1,1,1
chunker-generic-recursive,Recursive chunker,id,30,35,100,0.0,0.0,0.0,0,-0.00380952380952381,-0.0048571428571428585,-0.0027142857142857147,1,0.0011953857697847461,0.0,0.003586157309354239,0,1,1,1
chunker-generic-recursive,Recursive chunker,id,35,40,100,0.0,0.0,0.0,0,-0.0026071428571428556,-0.003428571428571427,-0.0017499999999999983,1,0.0017938070910748013,0.0,0.004739728945508568,0,1,1,1
chunker-generic-recursive,Recursive chunker,id,40,45,100,0.0,0.0,0.0,0,-0.002472222222222223,-0.0030555555555555557,-0.0019444444444444444,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-recursive,Recursive chunker,id,45,50,100,0.0,0.0,0.0,0,-0.001977777777777778,-0.002444444444444445,-0.0015333333333333338,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-recursive,Recursive chunker,id,50,55,100,0.0,0.0,0.0,0,-0.0016181818181818192,-0.0020000000000000013,-0.0012545454545454555,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-recursive,Recursive chunker,id,55,60,100,0.0,0.0,0.0,0,-0.001348484848484848,-0.0016666666666666661,-0.001045454545454545,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,combined,5,10,200,0.2,0.145,0.26,1,-0.006999999999999999,-0.02,0.005500000000000001,0,0.06966794965971426,0.05331036287079329,0.08668138109894809,1,0,0,0
chunker-generic-sliding-window,Sliding-window chunker,combined,10,15,200,0.06,0.03,0.095,1,-0.014666666666666668,-0.020500000000000004,-0.008833333333333337,1,0.027006300571177907,0.017700386530555418,0.0378320928785875,1,0,0,0
chunker-generic-sliding-window,Sliding-window chunker,combined,15,20,200,0.05,0.02,0.08,1,-0.008083333333333331,-0.011583333333333333,-0.004583333333333332,1,0.023005909002812918,0.015243199747132348,0.03175782931603558,1,0,0,0
chunker-generic-sliding-window,Sliding-window chunker,combined,20,25,200,0.03,0.01,0.055,1,-0.006650000000000002,-0.008950000000000003,-0.004250000000000001,1,0.013501005235947999,0.007764583274234989,0.01993821462794861,1,0,0,0
chunker-generic-sliding-window,Sliding-window chunker,combined,25,30,200,0.01,0.0,0.025,0,-0.0064333333333333334,-0.007766666666666667,-0.005066666666666667,1,0.005219458782991373,0.0020242658897320033,0.00901312022624473,1,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,combined,30,35,200,0.0,0.0,0.0,0,-0.005166666666666666,-0.006095238095238095,-0.0041904761904761915,1,0.0026111229076341337,0.000602606065044758,0.005211955789385405,1,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,combined,35,40,200,0.0,0.0,0.0,0,-0.004374999999999999,-0.0049999999999999975,-0.0037674107142857184,1,0.00032084616385791824,0.0,0.0009625384915737548,0,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,combined,40,45,200,0.0,0.0,0.0,0,-0.0035138888888888897,-0.004000000000000001,-0.0030694444444444445,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,combined,45,50,200,0.0,0.0,0.0,0,-0.002811111111111111,-0.0031888888888888887,-0.002444444444444445,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,combined,50,55,200,0.0,0.0,0.0,0,-0.0023000000000000017,-0.0026181818181818194,-0.00200909090909091,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,combined,55,60,200,0.0,0.0,0.0,0,-0.001916666666666666,-0.002181818181818181,-0.0016666666666666661,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,en,5,10,100,0.2,0.12,0.28,1,-0.007000000000000001,-0.027024999999999983,0.013999999999999999,0,0.07390301731710423,0.050518228718401864,0.09917691244418107,1,0,0,0
chunker-generic-sliding-window,Sliding-window chunker,en,10,15,100,0.08,0.03,0.14,1,-0.018333333333333333,-0.027333333333333334,-0.009333333333333338,1,0.02834006761696492,0.015097314644707984,0.043315644355195984,1,0,0,0
chunker-generic-sliding-window,Sliding-window chunker,en,15,20,100,0.06,0.02,0.11,1,-0.007166666666666665,-0.012666666666666665,-0.0016666666666666653,1,0.030229139954380244,0.01846982720720299,0.043626129445701795,1,0,0,0
chunker-generic-sliding-window,Sliding-window chunker,en,20,25,100,0.03,0.0,0.07,0,-0.009100000000000002,-0.012200000000000003,-0.0059975000000000375,1,0.01039980088627249,0.003929233523026444,0.018141970445293,1,0,0,0
chunker-generic-sliding-window,Sliding-window chunker,en,25,30,100,0.01,0.0,0.03,0,-0.006733333333333334,-0.0088,-0.004666666666666666,1,0.00642553547133482,0.0017971762163867858,0.011874902688751954,1,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,en,30,35,100,0.0,0.0,0.0,0,-0.005952380952380951,-0.007333333333333333,-0.004476190476190477,1,0.0024207142860618934,0.0,0.006056930728096165,0,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,en,35,40,100,0.0,0.0,0.0,0,-0.004964285714285713,-0.0058214285714285685,-0.004107142857142856,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,en,40,45,100,0.0,0.0,0.0,0,-0.003861111111111112,-0.004527777777777778,-0.003222222222222222,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,en,45,50,100,0.0,0.0,0.0,0,-0.003088888888888889,-0.0036222222222222224,-0.0025555555555555566,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,en,50,55,100,0.0,0.0,0.0,0,-0.0025272727272727287,-0.0029636363636363653,-0.002090909090909092,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,en,55,60,100,0.0,0.0,0.0,0,-0.002106060606060605,-0.0024696969696969685,-0.001757575757575757,1,0.0,0.0,0.0,0,1,1,1
